,trial_id,protocol_or_trial_id,trial_title,therapeutic_area,disease,sponsor,sponsor_type,primary_endpoint,secondary_endpoint,contains_nct,nct_number,drug_id
0,97470,"001-01, 0801-893, 2008_541, MCC 15414, MKV934-002, NCT00753415, TrialTroveID-097470, UPCC 06908, V934-002, V934-002 AM 4","A Phase I Investigation of the Safety, Tolerability and Immunogenicity of V934/V935 hTERT Vaccination in Cancer Patients with Selected Solid Tumors",Oncology,"Oncology: Bladder; Oncology: Breast; Oncology: Colorectal; Oncology: Esophageal; Oncology: Gastric; Oncology: Liver; Oncology: Lung, Non-Small Cell; Oncology: Melanoma; Oncology: Pancreas; Oncology: Prostate; Oncology: Renal",Merck & Co./Merck Sharp & Dohme (MSD),"Industry, Top 20 Pharma","Adverse Events, Creatinine kinase level, Dose-limiting toxicities, Nausea, Neutropenia, Safety and Tolerability, Serious Adverse Events, Vomiting","Immune Response, Overall response rate, Response rate",True,NCT00753415,41957
1,346259,"2020-0110, 20-286, DRAGON, NCT04291079, SRK-181-001, TrialTroveID-346259","A Phase I, Open-Label, Dose-Escalation, and Dose-Expansion Study to Investigate the Safety, Tolerability, PK, PD, and Efficacy of SRK-181 Alone and in Combination With Anti-PD-(L)1 Antibody Therapy in Patients With Locally Advanced or Metastatic Solid Tumors (DRAGON)",Oncology,"Oncology: Bladder; Oncology: Lung, Non-Small Cell; Oncology: Melanoma; Oncology: Renal; Oncology: Unspecified Solid Tumor",Scholar Rock,"Industry, all other pharma","Disease Progression, Dose-limiting toxicities, Safety and Tolerability, Safety and Tolerability","Cmax, Elimination half-life, Immune-related response evaluation criteria in solid tumors, Overall response rate, Plasma concentration, Response evaluation criteria in solid tumors, Tmax",True,NCT04291079,162422
2,258001,"1409015482, NCT02452346, TrialTroveID-258001, WCMC IST-CTI-MDS",Phase II Clinical Study of the Clinical Efficacy and Safety of Tosedostat in Atients With Myelodysplastic Syndromes (MDS) After Failure of Hypomethylating Agent-Based Therapy,Oncology,Oncology: Myelodysplastic Syndrome,"CTI BioPharma {Cell Therapeutics}, Weill Medical College of Cornell University","Industry, all other pharma, Academic","Overall survival, Safety and Tolerability","Complete response, Duration of overall response, Partial response, Safety and Tolerability, Safety and Tolerability, Stable Disease, Time to response",True,NCT02452346,31946
3,251516,"15-x017, 201503074, NCI-2015-00425, NCT02352831, TrialTroveID-251516",Phase I/II Study Combining Tosedostat with Capecitabine in Patients with Metastatic Pancreatic Adenocarcinoma,Oncology,Oncology: Pancreas,Washington University School of Medicine,Academic,"Dose-limiting toxicities, Progression-free survival, Progressive disease rate","Complete response, Overall response rate, Overall survival, Partial response, Progressive disease rate, Time to progression",True,NCT02352831,31946
4,213999,"702, EudraCT Number: 2012-000334-19, TrialTroveID-213999",Phase II multicenter study of low dose Cytarabine + Tosedostat for previously untreated older patients with acute myeloid leukemia (AML),Oncology,"Oncology: Leukemia, Acute Myelogenous",(Other Hospital/Academic/Medical Center),Academic,"Complete response, Overall response rate","Gene expression profiling, Overall response rate, Progression-free survival, Response rate, Safety and Tolerability, Stable Disease",False,,31946
5,171496,"8265134, NCT01638442, TrialTroveID-171496, TST101","An Open-label, Randomized, Two-way Crossover Trial of the Effect of a High-Fat Meal on the Pharmacokinetics of Oral Tosedostat (CHR 2797) in Healthy Male Subjects",Oncology,Oncology: Unspecified Cancer,"CTI BioPharma {Cell Therapeutics}, Chroma Therapeutics","Industry, all other pharma, Industry, all other pharma","Adverse Events, Area under the curve score, Cmax, Elimination half-life, Elimination rate, Plasma concentration, Safety and Tolerability, Tmax, Vital signs",Adverse Events,True,NCT01638442,31946
6,171129,"2011-0188, NCI-2018-01817, NCT01636609, TrialTroveID-171129",Phase I/II Study of Cytarabine or 5-Azacitidine Combined With Tosedostat to Evaluate the Safety and Tolerability in Older Patients With Acute Myeloid Leukemia (AML) or High Risk MDS,Oncology,"Oncology: Leukemia, Acute Myelogenous; Oncology: Myelodysplastic Syndrome","MD Anderson Cancer Center, University of Texas, National Institutes of Health/National Cancer Institute","Academic, Government","Complete response, Disease-free survival, Hematologic Improvement, Maximum tolerated dose, Partial response, Safety and Tolerability",,True,NCT01636609,31946
7,165040,"2566.00, NCI-2012-00274, NCT01567059, TrialTroveID-165040",A Phase II Study of Tosedostat in Combination With Either Cytarabine or Decitabine in Newly Diagnosed AML or High-Risk MDS,Oncology,"Oncology: Leukemia, Acute Myelogenous; Oncology: Myelodysplastic Syndrome","National Institutes of Health/National Cancer Institute, Fred Hutchinson Cancer Research Center, CTI BioPharma {Cell Therapeutics}","Government, Academic, Industry, all other pharma","Complete response, Overall survival","Disease-free survival, Overall survival, Safety and Tolerability, Safety and Tolerability, Treatment related mortality",True,NCT01567059,31946
8,158590,"ACTRN12612000848808, AML LI-1, AMLM20, EudraCT Number: 2011-000749-19, ISRCTN40571019, LI-1, SPON934-11, TrialTroveID-158590, UKCRN ID 10357","Leukaemia Lymphoma Research and NCRI Working Group Pick a Winner Programme (LI-1) Trial, , Less Intensive 1 (LI-1) Trial.",Oncology,"Oncology: Leukemia, Acute Myelogenous; Oncology: Myelodysplastic Syndrome","National Cancer Research Institute, (Other Hospital/Academic/Medical Center), Australasian Leukaemia and Lymphoma Group (ALLG)","Government, Academic, Cooperative Group","Complete response, Duration of overall response, Overall survival, Quality of Life","Overall survival, Quality of Life",False,,31946
9,143647,TrialTroveID-143647,A Phase I/II Study of Tosedostat in Combination with Decitabine for the Treatment of Myelodysplastic Syndrome,Oncology,Oncology: Myelodysplastic Syndrome,CTI BioPharma {Cell Therapeutics},"Industry, all other pharma",,,False,,31946
10,143639,TrialTroveID-143639,A Phase I/II Study of Tosedostat in Combination with Bortezomib For the Treatment of Multiple Myeloma.,Oncology,Oncology: Multiple Myeloma,CTI BioPharma {Cell Therapeutics},"Industry, all other pharma",,,False,,31946
